source,target,note,level,match_mode,context
lift,升力,飞行器四个基本力之一,canonical,case_insensitive,航空·空气动力学
drag,阻力,飞行器四个基本力之一,canonical,case_insensitive,航空·空气动力学
thrust,推力,飞行器四个基本力之一,canonical,case_insensitive,航空·空气动力学
weight,重量,四力平衡模型译为重量,canonical,case_insensitive,航空·飞行力学
angle of attack,迎角,规范用词又称攻角,canonical,case_insensitive,航空·空气动力学
angle of incidence,安装角,机翼安装基准夹角,canonical,case_insensitive,航空·空气动力学
airfoil,翼型,规范译名,canonical,case_insensitive,航空·空气动力学
camber,弯度,翼型剖面中弧线几何,canonical,case_insensitive,航空·空气动力学
chord line,弦线,前缘与后缘连线,canonical,case_insensitive,航空·空气动力学
boundary layer,边界层,黏性附面层,canonical,case_insensitive,航空·空气动力学
laminar flow,层流,规范译名,canonical,case_insensitive,航空·空气动力学
turbulent flow,湍流,规范译名,canonical,case_insensitive,航空·空气动力学
stall,失速,气流分离升力骤降,canonical,case_insensitive,航空·空气动力学
critical angle of attack,临界迎角,失速迎角,canonical,case_insensitive,航空·空气动力学
aspect ratio,展弦比,机翼几何参数,canonical,case_insensitive,航空·空气动力学
induced drag,诱导阻力,升力衍生阻力,canonical,case_insensitive,航空·空气动力学
parasite drag,寄生阻力,非升力构件阻力,canonical,case_insensitive,航空·空气动力学
ground effect,地面效应,近地气动特性改变,canonical,case_insensitive,航空·空气动力学
compressibility,可压缩性,高速气流特性,canonical,case_insensitive,航空·空气动力学
Mach number,马赫数,规范译名,canonical,exact,航空·空气动力学
static stability,静稳定性,受扰后初始恢复趋势,canonical,case_insensitive,航空·飞行力学
dynamic stability,动稳定性,扰动响应时域收敛性,canonical,case_insensitive,航空·飞行力学
longitudinal stability,纵向稳定性,绕横轴稳定性,canonical,case_insensitive,航空·飞行力学
lateral stability,横向稳定性,绕纵轴稳定性,canonical,case_insensitive,航空·飞行力学
directional stability,航向稳定性,绕立轴稳定性,canonical,case_insensitive,航空·飞行力学
center of gravity,重心,规范译名,canonical,case_insensitive,航空·飞行力学
center of pressure,压力中心,气动力作用中心,canonical,case_insensitive,航空·空气动力学
pitch,俯仰,绕横轴旋转,canonical,case_insensitive,航空·飞行力学
roll,滚转,横滚运动,canonical,case_insensitive,航空·飞行力学
yaw,偏航,绕立轴旋转,canonical,case_insensitive,航空·飞行力学
load factor,载荷因数,升重比,canonical,case_insensitive,航空·飞行力学
pitching moment,俯仰力矩,纵向气动力矩,canonical,case_insensitive,航空·飞行力学
fuselage,机身,规范译名,canonical,case_insensitive,航空·航空器结构
wing,机翼,主升力面,canonical,case_insensitive,航空·航空器结构
empennage,尾翼,尾部安定与操纵面,canonical,case_insensitive,航空·航空器结构
horizontal stabilizer,水平安定面,纵向安定面,canonical,case_insensitive,航空·航空器结构
vertical stabilizer,垂直安定面,垂尾垂直安定面,canonical,case_insensitive,航空·航空器结构
rudder,方向舵,航向操纵面,canonical,case_insensitive,航空·航空器结构
elevator,升降舵,纵向操纵面,canonical,case_insensitive,航空·航空器结构
aileron,副翼,横向操纵面,canonical,case_insensitive,航空·航空器结构
flap,襟翼,后缘增升装置,canonical,case_insensitive,航空·航空器结构
slat,缝翼,前缘增升缝翼,canonical,case_insensitive,航空·航空器结构
spoiler,扰流板,减升阻流装置,canonical,case_insensitive,航空·航空器结构
landing gear,起落架,规范译名,canonical,case_insensitive,航空·航空器结构
semi-monocoque structure,半硬壳式结构,蒙皮骨架共同受力结构,canonical,case_insensitive,航空·航空器结构
wing spar,翼梁,机翼主承力纵梁,canonical,case_insensitive,航空·航空器结构
wing rib,翼肋,机翼横向横隔结构,canonical,case_insensitive,航空·航空器结构
stringer,长桁,机身与机翼纵向加强条,canonical,case_insensitive,航空·航空器结构
skin,蒙皮,航空器外部气动外板,canonical,case_insensitive,航空·航空器结构
