source,target,note,level,match_mode,context
angle of attack,迎角,航空语境规范译名,canonical,case_insensitive,航空·空气动力学
angle of sideslip,侧滑角,规范译名,canonical,case_insensitive,航空·空气动力学
airfoil,翼型,规范译名,canonical,case_insensitive,航空·空气动力学
camber,弯度,翼型几何语境,canonical,case_insensitive,航空·空气动力学
chord line,弦线,规范译名,canonical,case_insensitive,航空·空气动力学
leading edge,前缘,机翼或翼型语境,canonical,case_insensitive,航空·空气动力学
trailing edge,后缘,机翼或翼型语境,canonical,case_insensitive,航空·空气动力学
wing loading,翼载荷,规范译名,canonical,case_insensitive,航空·空气动力学
aspect ratio,展弦比,机翼几何语境,canonical,case_insensitive,航空·空气动力学
lift coefficient,升力系数,规范译名,canonical,case_insensitive,航空·空气动力学
drag coefficient,阻力系数,规范译名,canonical,case_insensitive,航空·空气动力学
lift-to-drag ratio,升阻比,规范译名,canonical,case_insensitive,航空·空气动力学
induced drag,诱导阻力,规范译名,canonical,case_insensitive,航空·空气动力学
parasite drag,寄生阻力,规范译名,canonical,case_insensitive,航空·空气动力学
boundary layer,边界层,规范译名,canonical,case_insensitive,航空·空气动力学
laminar flow,层流,规范译名,canonical,case_insensitive,航空·空气动力学
turbulent flow,湍流,规范译名,canonical,case_insensitive,航空·空气动力学
flow separation,气流分离,航空气动语境,canonical,case_insensitive,航空·空气动力学
stall,失速,航空器气动语境,canonical,case_insensitive,航空·空气动力学
Mach number,马赫数,规范译名,canonical,exact,航空·空气动力学
pitch angle,俯仰角,规范译名,canonical,case_insensitive,航空·飞行力学
roll angle,滚转角,规范译名,canonical,case_insensitive,航空·飞行力学
yaw angle,偏航角,规范译名,canonical,case_insensitive,航空·飞行力学
load factor,载荷因数,航空器性能语境,canonical,case_insensitive,航空·飞行力学
static stability,静稳定性,规范译名,canonical,case_insensitive,航空·飞行力学
dynamic stability,动稳定性,规范译名,canonical,case_insensitive,航空·飞行力学
longitudinal stability,纵向稳定性,规范译名,canonical,case_insensitive,航空·飞行力学
lateral stability,横向稳定性,规范译名,canonical,case_insensitive,航空·飞行力学
directional stability,航向稳定性,航空器稳定性语境,canonical,case_insensitive,航空·飞行力学
trim,配平,航空器姿态与操纵语境,canonical,case_insensitive,航空·飞行力学
ground effect,地面效应,航空器近地飞行语境,canonical,case_insensitive,航空·飞行性能
service ceiling,实用升限,规范译名,canonical,case_insensitive,航空·飞行性能
rate of climb,爬升率,规范译名,canonical,case_insensitive,航空·飞行性能
true airspeed,真空速,规范译名,canonical,case_insensitive,航空·飞行性能
stall speed,失速速度,规范译名,canonical,case_insensitive,航空·飞行性能
fuselage,机身,规范译名,canonical,case_insensitive,航空·航空器结构
semimonocoque structure,半硬壳式结构,航空器结构语境,canonical,case_insensitive,航空·航空器结构
wing spar,翼梁,规范译名,canonical,case_insensitive,航空·航空器结构
wing rib,翼肋,规范译名,canonical,case_insensitive,航空·航空器结构
stringer,长桁,航空器纵向加强构件,canonical,case_insensitive,航空·航空器结构
skin,蒙皮,航空器结构语境,canonical,case_insensitive,航空·航空器结构
empennage,尾翼,规范译名,canonical,case_insensitive,航空·航空器结构
landing gear,起落架,规范译名,canonical,case_insensitive,航空·航空器结构
flap,襟翼,机翼增升装置,canonical,case_insensitive,航空·航空器结构
slat,缝翼,前缘增升装置,canonical,case_insensitive,航空·航空器结构
turbofan engine,涡轮风扇发动机,规范译名,canonical,case_insensitive,航空·航空发动机
turbojet engine,涡轮喷气发动机,规范译名,canonical,case_insensitive,航空·航空发动机
turboprop engine,涡轮螺旋桨发动机,规范译名,canonical,case_insensitive,航空·航空发动机
compressor,压气机,航空发动机语境,canonical,case_insensitive,航空·航空发动机
combustion chamber,燃烧室,航空发动机语境,canonical,case_insensitive,航空·航空发动机
turbine inlet temperature,涡轮进口温度,规范译名,canonical,case_insensitive,航空·航空发动机
afterburner,加力燃烧室,航空发动机部件,canonical,case_insensitive,航空·航空发动机
bypass ratio,涵道比,涡轮风扇发动机语境,canonical,case_insensitive,航空·航空发动机
thrust-specific fuel consumption,推力比油耗,规范译名,canonical,case_insensitive,航空·航空发动机
engine pressure ratio,发动机压力比,规范译名,canonical,case_insensitive,航空·航空发动机
aileron,副翼,规范译名,canonical,case_insensitive,航空·飞行控制
elevator,升降舵,航空器操纵面语境,canonical,case_insensitive,航空·飞行控制
rudder,方向舵,航空器操纵面语境,canonical,case_insensitive,航空·飞行控制
autopilot,自动驾驶仪,规范译名,canonical,case_insensitive,航空·飞行控制
flight director,飞行指引仪,规范译名,canonical,case_insensitive,航空·航电导航
inertial navigation system,惯性导航系统,规范译名,canonical,case_insensitive,航空·航电导航
instrument landing system,仪表着陆系统,规范译名,canonical,case_insensitive,航空·航电导航
VOR,甚高频全向信标,航空导航缩写,canonical,exact,航空·航电导航
DME,测距设备,航空导航缩写,canonical,exact,航空·航电导航
transponder,应答机,航空监视语境,canonical,case_insensitive,航空·航电导航
orbital elements,轨道根数,轨道描述参数集合,canonical,case_insensitive,航天·轨道力学
semimajor axis,半长轴,轨道椭圆参数,canonical,case_insensitive,航天·轨道力学
eccentricity,偏心率,轨道要素语境,canonical,case_insensitive,航天·轨道力学
inclination,轨道倾角,轨道要素语境,canonical,case_insensitive,航天·轨道力学
right ascension of ascending node,升交点赤经,规范译名,canonical,case_insensitive,航天·轨道力学
argument of perigee,近地点幅角,地球轨道语境,canonical,case_insensitive,航天·轨道力学
true anomaly,真近点角,规范译名,canonical,case_insensitive,航天·轨道力学
periapsis,近拱点,通用中心天体轨道语境,canonical,case_insensitive,航天·轨道力学
apoapsis,远拱点,通用中心天体轨道语境,canonical,case_insensitive,航天·轨道力学
perigee,近地点,地球轨道语境,canonical,case_insensitive,航天·轨道力学
apogee,远地点,地球轨道语境,canonical,case_insensitive,航天·轨道力学
orbital period,轨道周期,规范译名,canonical,case_insensitive,航天·轨道力学
orbital velocity,轨道速度,规范译名,canonical,case_insensitive,航天·轨道力学
escape velocity,逃逸速度,规范译名,canonical,case_insensitive,航天·轨道力学
geostationary orbit,地球静止轨道,规范译名,canonical,case_insensitive,航天·轨道力学
geosynchronous orbit,地球同步轨道,规范译名,canonical,case_insensitive,航天·轨道力学
low Earth orbit,低地球轨道,规范译名,canonical,case_insensitive,航天·轨道力学
Sun-synchronous orbit,太阳同步轨道,规范译名,canonical,case_insensitive,航天·轨道力学
transfer orbit,转移轨道,规范译名,canonical,case_insensitive,航天·轨道力学
Hohmann transfer,霍曼转移,人名轨道转移术语,canonical,exact,航天·轨道力学
launch vehicle,运载火箭,规范译名,canonical,case_insensitive,航天·运载器
payload,有效载荷,航天任务语境,canonical,case_insensitive,航天·运载器
payload fairing,有效载荷整流罩,规范译名,canonical,case_insensitive,航天·运载器
booster,助推器,运载火箭语境,canonical,case_insensitive,航天·运载器
rocket stage,火箭级,规范译名,canonical,case_insensitive,航天·运载器
stage separation,级间分离,运载火箭语境,canonical,case_insensitive,航天·运载器
specific impulse,比冲,推进系统性能参数,canonical,case_insensitive,航天·运载器
thrust-to-weight ratio,推重比,规范译名,canonical,case_insensitive,航天·运载器
thrust vector control,推力矢量控制,规范译名,canonical,case_insensitive,航天·运载器
